Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
01/01/2024 18:00;01/01/2024 18:15;73;kWh;-12158;2693;0;0;14851;-9465
01/01/2024 18:15;01/01/2024 18:30;74;kWh;-711;0;0;0;711;-711
01/01/2024 18:30;01/01/2024 18:45;75;kWh;-1;0;0;0;1;-1
01/01/2024 18:45;01/01/2024 19:00;76;kWh;-6204;2482;0;0;8686;-3722
01/01/2024 19:00;01/01/2024 19:15;77;kWh;-18904;1323;0;0;20227;-17581
01/01/2024 19:15;01/01/2024 19:30;78;kWh;-23890;0;0;0;23890;-23890
01/01/2024 19:30;01/01/2024 19:45;79;kWh;-4900;0;0;0;4900;-4900
01/01/2024 19:45;01/01/2024 20:00;80;kWh;-3683;2453;0;0;6136;-1230
01/01/2024 20:00;01/01/2024 20:15;81;kWh;0;48716;0;0;48716;48716
01/01/2024 20:15;01/01/2024 20:30;82;kWh;0;57839;0;0;57839;57839
01/01/2024 20:30;01/01/2024 20:45;83;kWh;0;1447;0;0;1447;1447
01/01/2024 20:45;01/01/2024 21:00;84;kWh;-4979;0;0;0;4979;-4979
01/01/2024 21:00;01/01/2024 21:15;85;kWh;-3198;0;0;0;3198;-3198
01/01/2024 21:15;01/01/2024 21:30;86;kWh;-10557;0;0;0;10557;-10557
01/01/2024 21:30;01/01/2024 21:45;87;kWh;-23338;297;0;0;23635;-23041
01/01/2024 21:45;01/01/2024 22:00;88;kWh;-23918;522;0;0;24440;-23396
01/01/2024 22:00;01/01/2024 22:15;89;kWh;-20896;0;0;0;20896;-20896
01/01/2024 22:15;01/01/2024 22:30;90;kWh;-24947;0;0;0;24947;-24947
01/01/2024 22:30;01/01/2024 22:45;91;kWh;-13295;0;0;0;13295;-13295
01/01/2024 22:45;01/01/2024 23:00;92;kWh;-20010;0;0;0;20010;-20010
01/01/2024 23:00;01/01/2024 23:15;93;kWh;-3029;0;0;0;3029;-3029
01/01/2024 23:15;01/01/2024 23:30;94;kWh;-12159;0;0;0;12159;-12159
01/01/2024 23:30;01/01/2024 23:45;95;kWh;-18862;0;0;0;18862;-18862
01/01/2024 23:45;02/01/2024 00:00;96;kWh;-33161;0;0;0;33161;-33161
02/01/2024 00:00;02/01/2024 00:15;1;kWh;-148168;0;0;0;148168;-148168
02/01/2024 00:15;02/01/2024 00:30;2;kWh;-164494;0;0;0;164494;-164494
02/01/2024 00:30;02/01/2024 00:45;3;kWh;-142584;0;0;0;142584;-142584
02/01/2024 00:45;02/01/2024 01:00;4;kWh;-186518;0;0;0;186518;-186518
